X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,clusterID
3955239,4014296,4577,0,0,0,0,1,0,1,0,0,0,0,2,1,1,4,0,0,1,0,0,6
3955226,4014300,4202,0,0,0,0,1,0,1,0,0,0,0,2,1,1,4,0,0,1,0,0,6
3955214,4014304,4004,0,0,0,0,1,0,1,0,0,0,0,2,1,1,4,0,0,1,0,0,6
3955194,4014307,4920,0,0,0,0,1,0,1,0,0,0,0,3,1,1,4,0,0,1,0,0,6
3955171,4014299,4375,0,0,0,0,1,0,1,0,0,0,0,3,1,1,4,0,0,1,0,0,6
3955150,4014294,4536,0,0,0,0,1,0,0,0,0,0,0,3,1,1,4,0,0,1,0,0,6
3954924,4014371,4680,0,0,0,0,0,0,1,0,0,1,0,6,1,4,4,0,0,2,0,0,5
3954952,4014410,6090,0,0,0,0,0,0,1,0,0,1,0,4,1,4,3,0,0,2,0,0,5
3955050,4014436,7456,0,0,0,0,1,0,0,0,0,0,0,3,2,4,4,0,0,1,0,0,6
3955010,4014426,7128,0,0,0,0,1,0,0,0,0,0,0,4,2,4,4,0,0,1,0,0,6
3955031,4014421,6864,0,0,0,0,1,0,0,0,0,0,0,3,2,4,4,0,0,1,0,0,6
3955008,4014411,5792,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,0,0,1,0,0,6
3954975,4014397,6125,0,0,0,0,0,0,1,0,0,1,0,4,1,4,4,0,0,1,0,0,5
3954990,4014395,5408,0,0,0,0,0,0,1,0,0,0,0,4,1,4,4,0,0,1,0,0,6
3955029,4014402,7657,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,0,0,1,0,0,6
3954908,4014420,7449,0,0,0,0,0,0,1,0,0,1,0,7,1,4,4,0,0,2,0,0,5
3955264,4014383,7000,0,0,0,0,0,0,1,0,0,0,0,5,2,2,4,0,0,1,0,0,6
3955215,4014423,7888,0,0,0,0,0,0,1,0,0,0,0,6,2,3,4,0,0,1,0,0,6
3955200,4014423,6086,0,0,0,0,1,0,1,0,0,0,0,6,2,3,4,0,0,1,0,0,6
3955110,4014373,6840,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,0,1,0,0,6
3955069,4014376,7140,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,0,1,0,0,6
3955075,4014388,6300,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,0,1,0,0,6
3955106,4014397,5250,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,0,1,0,0,6
3955058,4014390,4930,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,0,1,0,0,6
3955076,4014422,5487,0,0,0,0,1,0,0,0,0,0,0,4,2,3,4,0,0,1,0,0,6
3955076,4014407,5307,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,0,1,0,0,6
3955104,4014407,5735,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,0,0,1,0,0,6
3954973,4014378,6392,0,0,0,0,0,0,1,0,0,1,0,4,1,4,3,0,0,1,0,0,5
3954989,4014377,6666,0,0,0,0,0,0,1,0,0,0,0,4,1,4,4,0,0,1,0,0,6
3955052,4014353,4312,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,0,0,1,0,0,6
3954768,4014485,13002,0,0,0,0,1,0,2,0,0,1,0,15,1,6,4,0,0,1,1,0,5
3954862,4014505,7316,0,0,0,0,2,0,0,0,0,1,0,11,1,7,4,0,0,2,0,0,5
3954875,4014502,8195,0,0,0,0,2,0,0,0,0,1,0,9,2,6,4,0,0,2,0,0,5
3954846,4014439,5280,0,0,0,0,0,0,2,0,0,1,0,7,1,4,4,0,0,2,0,0,5
3954835,4014443,5418,0,0,0,0,0,0,2,0,0,1,0,7,1,4,4,0,0,2,0,0,5
3954871,4014453,7052,0,0,0,0,0,0,1,0,0,1,0,8,1,4,4,0,0,2,0,0,5
3954868,4014443,7040,0,0,0,0,0,0,1,0,0,1,0,8,1,4,4,0,0,2,0,0,5
3954896,4014464,6519,0,0,0,0,2,0,0,0,0,1,0,7,1,4,4,0,0,2,0,0,5
3954901,4014486,5704,0,0,0,0,2,0,0,0,0,1,0,8,2,5,4,0,0,2,0,0,5
3954923,4014482,5838,0,0,0,0,2,0,0,0,0,1,0,7,2,5,4,0,0,2,0,0,5
3954970,4014484,7252,0,0,0,0,2,0,0,0,0,0,0,5,2,5,3,0,0,2,0,0,6
3954946,4014473,5439,0,0,0,0,2,0,0,0,0,1,0,4,2,4,4,0,0,2,0,0,5
3954941,4014436,5700,0,0,0,0,1,0,0,0,0,1,0,6,1,4,4,0,0,2,0,0,5
3955029,4014476,6020,0,0,0,0,1,0,0,0,0,0,0,6,2,4,4,0,0,1,0,0,6
3955027,4014465,7175,0,0,0,0,1,0,0,0,0,0,0,6,2,4,4,0,0,1,0,0,6
3955054,4014463,6664,0,0,0,0,1,0,0,0,0,0,0,5,2,4,4,0,0,1,0,0,6
3954990,4014449,6303,0,0,0,0,1,0,0,0,0,0,0,4,2,4,4,0,0,1,0,0,6
3955012,4014441,5474,0,0,0,0,1,0,0,0,0,0,0,4,2,4,4,0,0,1,0,0,6
3954866,4014433,6680,0,0,0,0,0,0,1,0,0,1,0,8,1,4,4,0,0,2,0,0,5
3955199,4014447,7488,0,0,0,0,1,0,1,0,0,0,0,6,2,3,4,0,0,1,0,0,6
3955197,4014468,7486,0,0,0,0,1,0,1,0,0,0,0,8,2,3,4,0,0,1,0,0,6
3955114,4014509,8080,0,0,0,0,1,0,0,0,0,0,0,9,2,4,4,0,0,1,0,0,6
3955123,4014504,6929,0,0,0,0,1,0,0,0,0,0,0,9,2,4,4,0,0,1,0,0,6
3955118,4014481,9711,0,0,0,0,1,0,0,0,0,0,0,8,2,4,4,0,0,1,0,0,6
3955101,4014463,8991,0,0,0,0,1,0,0,0,0,0,0,7,2,3,4,0,0,1,0,0,6
3955117,4014459,7910,0,0,0,0,1,0,0,0,0,0,0,7,2,3,4,0,0,1,0,0,6
3955100,4014445,7548,0,0,0,0,1,0,0,0,0,0,0,5,2,3,4,0,0,1,0,0,6
3955074,4014456,7616,0,0,0,0,1,0,0,0,0,0,0,5,2,4,4,0,0,1,0,0,6
3954778,4014507,11175,0,0,0,0,2,0,1,0,0,1,0,18,1,6,4,0,0,2,1,0,5
3954782,4014531,14418,0,0,0,0,3,0,1,0,0,1,0,20,1,7,4,0,0,2,1,0,5
3954785,4014541,13861,0,0,0,0,3,0,1,0,0,1,0,21,1,8,4,0,0,2,1,0,5
3954799,4014532,13689,0,0,0,0,3,0,1,0,0,1,0,20,1,7,4,0,0,2,1,0,5
3954815,4014555,15660,0,0,0,0,3,0,1,0,0,1,0,23,1,9,4,0,0,2,0,0,5
3954947,4014568,13065,0,0,0,0,2,0,0,0,0,0,0,16,2,8,3,0,0,2,0,0,0
3954853,4014544,12798,0,0,0,0,2,0,0,0,0,1,0,21,2,8,4,0,0,2,0,0,5
3954882,4014556,15006,0,0,0,0,2,0,0,0,0,1,0,21,2,8,4,0,0,2,0,0,5
3954865,4014542,9525,0,0,0,0,2,0,0,0,0,1,0,19,2,8,4,0,0,2,0,0,5
3954866,4014519,7200,0,0,0,0,2,0,0,0,0,1,0,11,2,7,4,0,0,2,0,0,5
3954879,4014517,7434,0,0,0,0,2,0,0,0,0,1,0,10,2,7,4,0,0,2,0,0,5
3954892,4014512,7791,0,0,0,0,2,0,0,0,0,1,0,10,2,7,4,0,0,2,0,0,5
3954979,4014515,8358,0,0,0,0,2,0,0,0,0,0,0,7,2,6,4,0,0,2,0,0,6
3954934,4014512,7392,0,0,0,0,2,0,0,0,0,1,0,7,2,6,4,0,0,2,0,0,5
3955040,4014603,9499,0,0,0,0,2,0,0,0,0,0,0,17,2,8,4,0,0,1,0,0,0
3955023,4014625,13317,0,0,0,0,2,0,0,0,0,0,0,19,2,9,4,0,0,1,0,0,0
3955048,4014629,12033,0,0,0,0,2,0,0,0,0,0,0,19,2,8,4,0,0,1,0,0,0
3955001,4014652,16426,0,0,0,0,2,0,0,0,0,0,0,28,2,9,3,0,0,1,0,0,0
3954993,4014642,11266,0,0,0,0,2,0,0,0,0,0,0,27,2,9,3,0,0,1,0,0,0
3954958,4014613,14359,0,0,0,0,2,0,0,0,0,0,0,24,2,8,3,0,0,2,0,0,0
3954931,4014603,10320,0,0,0,0,2,0,0,0,0,0,0,24,2,8,3,0,0,2,0,0,0
3954237,4012890,5616,0,0,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,1,1,0,6
3954179,4013008,7667,0,0,0,0,0,0,1,0,0,0,0,4,1,5,1,0,0,1,1,0,6
3954203,4012971,7872,0,0,0,0,0,0,2,0,0,0,0,4,0,5,1,0,0,1,1,0,6
3948997,4015517,6851,2,0,1,1,0,1,0,1,0,0,0,2,5,1,0,0,0,0,0,0,6
3951329,4012481,4576,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
3951153,4012395,3808,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
3951172,4012389,3774,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
3951042,4012559,5267,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,5
3951166,4012510,4000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
3951289,4012685,5328,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
3951055,4012642,6250,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,5
3951128,4012625,5681,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,5
3951153,4012596,4578,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6
3951009,4012664,5712,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,5
3951024,4012657,5616,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,5
3950876,4012636,6496,0,0,0,0,0,0,0,1,0,2,0,3,0,0,2,0,0,0,0,0,5
3951010,4012611,4944,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,5
3951004,4012593,4824,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,5
3950997,4012574,4686,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,5
3951525,4012693,5856,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6
3951395,4012756,5784,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6
3951402,4012771,5900,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,6
3951412,4012692,5448,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
3951331,4012886,6188,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,6
3951324,4012869,6723,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,6
3951093,4012890,6720,1,0,0,0,0,0,0,1,0,2,0,3,0,0,2,0,0,0,0,0,5
3951092,4012873,7722,1,0,0,0,0,0,0,1,0,2,0,3,0,0,2,0,0,0,0,0,5
