X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,ID,clusterID
3954979,4014515,1592,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,89496,4
3954934,4014512,1680,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,111880,4
3955040,4014603,1932,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,138732,4
3955023,4014625,2123,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,127193,4
3955048,4014629,2292,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,138768,4
3955001,4014652,1910,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,115650,4
3954993,4014642,1310,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,115660,4
3954958,4014613,1557,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,104130,4
3954931,4014603,1200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,115730,4
3954937,4014618,1410,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,115750,4
3954987,4014687,1340,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,119060,3
3954962,4014692,2046,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,131043,3
3954970,4014731,2004,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,147276,3
3954960,4014736,1612,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,159562,3
3954979,4014768,3094,0,0,0,0,2,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,208709,7
3954994,4014763,2560,0,0,0,0,2,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,196448,7
3954991,4014784,2772,0,0,0,0,2,0,0,0,0,0,0,3,1,5,1,0,0,0,0,0,221292,7
3954962,4014774,2329,0,0,0,0,2,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,209032,7
3954991,4014800,4074,0,0,0,0,2,0,0,0,0,0,0,4,1,5,1,0,0,0,0,0,266385,7
3952224,4012386,1302,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12480,3
