full_id,osm_id,osm_type,amenity,short_name,community_centre:for,community_centre,url,name:fr,name:en,name:ar,name,addr:street,addr:city
n356139949,"356139949",node,community_centre,,,,http://www.therootspace.org,RootSpace,RootSpace,روت سبايس,روت سبايس,Charles Helou Street (Autostrad Shmayl (North)),Beirut
n4658110391,"4658110391",node,community_centre,,,,,,Kurdish evangelical church,الكنيسة الكوردية الإنجيلية,الكنيسة الكوردية الإنجيلية,,
n4713369891,"4713369891",node,community_centre,,,,,,,مركز توفيق طباره,مركز توفيق طباره,,
n4879531822,"4879531822",node,community_centre,,,,,,VNH Building,VNH Building,VNH Building,Adib Ishac,
n4952843367,"4952843367",node,community_centre,,,,,,Dammeh Cooperative,تعاونيّة الضمّة,تعاونيّة الضمّة,,
n5451080081,"5451080081",node,community_centre,,,,,,Badguer House of Artisans,بادكير بيت المبدع والحرفي,بادكير بيت المبدع والحرفي,,بيروت
n5647280221,"5647280221",node,community_centre,,,,,,the Center for HI,,the Center for HI,,
n10172011009,"10172011009",node,community_centre,MYC,juvenile,youth_centre,,,Manara Youth Center,,Manara Youth Center,,
